,Model,Power,GVW,Payload,Fueltank,Engine,WheelBase,Image & Other Details
0,Tata Yodha 1700 BS6,100 bhp ,GVW 3490,1700,45,2200,3150,https://trucks.cardekho.com/en/trucks/tata/yodha-1700-bs6
1,Tata ACE,16 bhp ,GVW 1550,605,30,702,2100,https://trucks.cardekho.com/en/trucks/tata/ace
2,Ashok Leyland Dost+,60 bhp ,GVW 2750,1475,40,1478,2510,https://trucks.cardekho.com/en/trucks/ashok-leyland/dost
3,Mahindra Jeeto,11  bhp  ,GVW 1291,600,10.5,625,2250,https://trucks.cardekho.com/en/trucks/mahindra/jeeto
4,Piaggio Ape,8.04 bhp ,GVW 975,560,10.5,435,1920,https://trucks.cardekho.com/en/trucks/piaggio/ape
5,Mahindra Bolero Maxitruck Plus BS6,65 bhp,GVW 2700,1200,45,2523,3150,https://trucks.cardekho.com/en/trucks/mahindra/bolero-maxi-truck-plus
6,Eicher Pro 1110,135 bhp ,GVW 11990,,190,3298,3800,https://trucks.cardekho.com/en/trucks/eicher/pro-1110
7,Tata LPK 2518,180 bhp ,GVW 25000,,300,5883,3880,https://trucks.cardekho.com/en/trucks/tata/lpk-2518
8,Maruti Suzuki Super Carry,32 bhp ,GVW 1600,740,30,793,2110,https://trucks.cardekho.com/en/trucks/maruti-suzuki/super-carry
9,Tata Intra V20,70 bhp ,GVW 2300,1100,35,1396,2250,https://trucks.cardekho.com/en/trucks/tata/intra-v20
10,Mahindra Bolero Pikup ExtraStrong BS6,75 bhp ,GVW 2995/3245,1280/1500,57,2523,3264,https://trucks.cardekho.com/en/trucks/mahindra/bolero-pikup
11,Tata Ace gold,16 bhp ,GVW 1550,710,30,702,2100,https://trucks.cardekho.com/en/trucks/tata/ace-gold
12,Mahindra Bolero Camper BS6,75 bhp ,GVW 2735,1000,57,2523,3014,https://trucks.cardekho.com/en/trucks/mahindra/bolero-camper-gold
13,Mahindra Maxximo,19.2 bhp ,GVW 1815,965,33,909,1950,https://trucks.cardekho.com/en/trucks/mahindra/maxximo
14,Tata LPT 3718,175bhp ,GVW 37000,27405,400,5883,6225,https://trucks.cardekho.com/en/trucks/tata/lpt-3718
15,Mahindra Alfa Load,7 bhp ,GVW 995,505,10.5,436,2165,https://trucks.cardekho.com/en/trucks/mahindra/alfa-load
16,Bajaj Maxima C,8.88 bhp ,GVW 990,472,8,447,2125,https://trucks.cardekho.com/en/trucks/bajaj/maxima-c
17,Eicher Pro 1049,95 bhp ,GVW 4995,2679,60,3298,2750,https://trucks.cardekho.com/en/trucks/eicher/pro-1049
18,Ashok Leyland DOST STRONG,58 bhp ,GVW 2545,1250,40,1478,2350,https://trucks.cardekho.com/en/trucks/ashok-leyland/dost-strong
19,Mahindra Supro Maxitruck,45  bhp  ,GVW 2090,1000,33,909,2050,https://trucks.cardekho.com/en/trucks/mahindra/supro-maxitruck
20,Mahindra Bolero Pikup 4x4 BS6,75 bhp ,GVW 2735,1015,57,2523,3014,https://trucks.cardekho.com/en/trucks/mahindra/big-bolero-pik-up
21,Tata LPT 2518,175bhp ,GVW 25000,19000,350,5883,4880,https://trucks.cardekho.com/en/trucks/tata/lpt-2518
22,Eicher Pro 2049,95 bhp ,GVW 4995,2697,60,--,2580,https://trucks.cardekho.com/en/trucks/eicher/pro-2049
23,Tata Yodha Pickup,85 bhp ,GVW 3100,1250,45,2956,3150,https://trucks.cardekho.com/en/trucks/tata/yodha
24,Tata Ace Gold BS6,30 bhp,GVW 1615,750,,,2100,https://trucks.cardekho.com/en/trucks/tata/ace-gold-bs6
25,Tata ACE XL,16 bhp ,GVW 1630,710,30,702,2250,https://trucks.cardekho.com/en/trucks/tata/ace-xl
26,Tata LPT 1109 HEX2,123.3bhp ,GVW 12990,8320,160,3783,3600,https://trucks.cardekho.com/en/trucks/tata/lpt-1109-hex2
27,Tata Xenon,85 bhp ,GVW 2950,1030,65,2956,3150,https://trucks.cardekho.com/en/trucks/tata/xenon
28,Ashok Leyland 3718,180 Bhp ,GVW 37000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/3718
29,Ashok Leyland DOST LiTE,58 bhp ,GVW 2545,1250,40,1478,2350,https://trucks.cardekho.com/en/trucks/ashok-leyland/dost-lite
30,Mahindra Supro Minitruck,25  bhp  ,GVW 1870,750,45,909,1840,https://trucks.cardekho.com/en/trucks/mahindra/supro-minitruck
31,Tata 207 RX Common Rail,85bhp ,GVW 2950,1040,60,2956,3150,https://trucks.cardekho.com/en/trucks/tata/207-rx-common-rail
32,Tata Intra V30 BS6,70  bhp  ,GVW 2565,,,1500,2450,https://trucks.cardekho.com/en/trucks/tata/intra-v30-bs6
33,Ashok Leyland Ecomet 1214,130 bhp ,GVW 16100,9979,200,,,https://trucks.cardekho.com/en/trucks/ashok-leyland/ecomet-1214
34,BharatBenz 1617R BS6,167 bhp,GVW 16200,,214,3900,5100,https://trucks.cardekho.com/en/trucks/bharat-benz/1617r
35,Tata LPT 407 EX,82.6 bhp ,GVW 6250,3830,60,2956,3400,https://trucks.cardekho.com/en/trucks/tata/lpt-407
36,Eicher Pro 1110XP,135 bhp ,GVW 12976,10056,190,3298,3800,https://trucks.cardekho.com/en/trucks/eicher/pro-1110-xp
37,Isuzu D-MAX,78 bhp ,GVW 2850,1200,55,2499,3095,https://trucks.cardekho.com/en/trucks/isuzu/d-max
38,Tata LPK 1618,177.1 bhp ,GVW 16200,,225,5883,3580,https://trucks.cardekho.com/en/trucks/tata/lpk-1618
39,Eicher Pro 3015,135 bhp ,GVW 16020,,190,--,4490,https://trucks.cardekho.com/en/trucks/eicher/pro-3015
40,Tata LPT 3118,175bhp ,GVW 31000,23700,365,5883,5205,https://trucks.cardekho.com/en/trucks/tata/lpt-3118
41,Tata Intra V10,40 bhp ,GVW 2110,1000,35,798,2250,https://trucks.cardekho.com/en/trucks/tata/intra-v10
42,Ashok Leyland 1618,180 Bhp ,GVW 16000,--,212,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/1618
43,Tata SFC 407 PICKUP EX,83.8bhp ,GVW 4450,2450,60,2956,2955,https://trucks.cardekho.com/en/trucks/tata/sfc-407-pickup-ex
44,Isuzu D-Max S-Cab,78 bhp ,GVW 2850,1150,55,2499,3095,https://trucks.cardekho.com/en/trucks/isuzu/d-max-s-cab
45,Eicher Pro 1059,95 bhp ,GVW 6450,,60,--,2750,https://trucks.cardekho.com/en/trucks/eicher/pro-1059
46,Tata SK 407 EX,83.8bhp ,GVW 6250,3975,60,2956,3100,https://trucks.cardekho.com/en/trucks/tata/sk-407-ex
47,Tata ACE ZIP,12 bhp ,GVW 1305,600,10,611,1650,https://trucks.cardekho.com/en/trucks/tata/ace-zip
48,Ashok Leyland PARTNER 6 TYRE,105 bhp ,GVW 7200,4590,90,2953,2850,https://trucks.cardekho.com/en/trucks/ashok-leyland/partner-6-tyre
49,Force SHAKTIMAN 200,67 bhp ,GVW 3475,1750,45,1947,2770,https://trucks.cardekho.com/en/trucks/force/shaktiman-200
50,Mahindra Imperio,74  bhp  ,GVW 2990,1240,55,2489,3220,https://trucks.cardekho.com/en/trucks/mahindra/imperio
51,Tata SFC 709 EX,83.8 bhp ,GVW 7490,4775,120,2956,3800,https://trucks.cardekho.com/en/trucks/tata/sfc-709-ex
52,Tata ACE ZIP XL,12.47 bhp ,GVW 1310,600,10,611,1650,https://trucks.cardekho.com/en/trucks/tata/ace-zip-xl
53,Tata Signa 4923.S,230 bhp ,GVW 49000,40720,400,5883,3880,https://trucks.cardekho.com/en/trucks/tata/signa-4923s
54,Tata LPK 3118,177.1 bhp ,GVW 31000,,300,5883,5580,https://trucks.cardekho.com/en/trucks/tata/lpk-3118
55,Force Kargo King,67 bhp ,GVW 2990,1250,60,1947,3000,https://trucks.cardekho.com/en/trucks/force/kargo-king
56,Eicher Pro 1080,110 HP ,GVW 8250,5460,100,3298,3515,https://trucks.cardekho.com/en/trucks/eicher/pro-1080
57,Mahindra DI3200 JAYO,70 bhp ,GVW 4850,,,2500,--,https://trucks.cardekho.com/en/trucks/mahindra/di3200-jayo
58,Tata Signa 4018.S,180 BHP ,GVW 40200,34230,400,5883,3200,https://trucks.cardekho.com/en/trucks/tata/signa-4018s
59,Eicher Pro 1114XP,135 bhp ,GVW 16020,,190,--,3755,https://trucks.cardekho.com/en/trucks/eicher/pro-1114xp
60,Mahindra Bolero City Pikup BS6,65 bhp,GVW 2990,1400,45,2523,3264,https://trucks.cardekho.com/en/trucks/mahindra/bolero-city-pikup
61,Maruti Suzuki Eeco Cargo,72 bhp ,GVW 1540,,40,1196,2350,https://trucks.cardekho.com/en/trucks/maruti-suzuki/eeco-cargo
62,Tata SK 1613 Hymiler,134 bhp ,GVW 16200,,150,5675,3225,https://trucks.cardekho.com/en/trucks/tata/sk-1613-hymiler
63,Mahindra Loadking Optimo Tipper,90 bhp ,GVW 6950,3585,,3300,2500,https://trucks.cardekho.com/en/trucks/mahindra/loadking-optimo-tipper
64,Piaggio Porter 700,15 bhp ,GVW 1525,750,15,652,1820,https://trucks.cardekho.com/en/trucks/piaggio/porter-700
65,Eicher Pro 1095,110 bhp ,GVW 9500,,190,3298,3515,https://trucks.cardekho.com/en/trucks/eicher/pro-1095
66,Ashok Leyland U-2518 T,180bhp ,GVW 25000,19000,212,5660,3600,https://trucks.cardekho.com/en/trucks/ashok-leyland/u-2518-t
67,Ashok Leyland PARTNER 4 TYRE,103 bhp ,GVW 6020,3658,60,2953,2670,https://trucks.cardekho.com/en/trucks/ashok-leyland/partner-4-tyre
68,Force Traveller Delivery Van,80 bhp ,GVW 3510,1460,140,2596,3050,https://trucks.cardekho.com/en/trucks/force/traveller-delivery-van
69,Bajaj Maxima,9 bhp ,GVW 990,,,470,2025,https://trucks.cardekho.com/en/trucks/bajaj/maxima
70,Piaggio Porter 1000,28 bhp,GVW 1924,1000,27,1034,1970,https://trucks.cardekho.com/en/trucks/piaggio/porter-1000
71,Tata Ultra 912,165.2bhp ,GVW 9600,,120,3783,3310,https://trucks.cardekho.com/en/trucks/tata/ultra-912
72,Tata LPK 2523 HD 9S,224 bhp ,GVW 25000,,300,5883,3880,https://trucks.cardekho.com/en/trucks/tata/lpk-2523-hd-9s
73,Atul GEM,7.5 bhp ,GVW 995,575,10.5,435,2100,https://trucks.cardekho.com/en/trucks/atul/gem
74,Tata SE 1613,132.1 bhp ,GVW 16200,,225,--,4225,https://trucks.cardekho.com/en/trucks/tata/se-1613
75,Tata Signa 4830.T BS6,296 bhp ,GVW 47500,,365,6700,6730,https://trucks.cardekho.com/en/trucks/tata/signa-4830-t
76,Ashok Leyland 2518,180 Bhp ,GVW 25000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/2518
77,Tata LPK 912,123.3bhp ,GVW 9600,,100,3783,2700,https://trucks.cardekho.com/en/trucks/tata/lpk-912
78,Tata ULTRA 1518 T 5L,174.4 bhp ,GVW 16190,,160,5005,4530,https://trucks.cardekho.com/en/trucks/tata/ultra-1518-t-5l
79,Tata Ultra T.16 AMT BS6,177 bhp ,GVW 16190,,800,5000,,https://trucks.cardekho.com/en/trucks/tata/ultra-t-16-amt-bs6
80,Tata ULTRA T7,82.6 bhp ,GVW 7300,4700,60,2956,3550,https://trucks.cardekho.com/en/trucks/tata/ultra-t7
81,Eicher Pro 1095XP,110 bhp ,GVW 10700,,190,3298,3515,https://trucks.cardekho.com/en/trucks/eicher/pro-1095-xp
82,Mahindra Alfa,7.5 bhp ,GVW 800,,,436,,https://trucks.cardekho.com/en/trucks/mahindra/alfa
83,Force SHAKTIMAN 400,67 bhp ,GVW 6100,3500,70,2596,3100,https://trucks.cardekho.com/en/trucks/force/shaktiman-400
84,Piaggio Ape Delivery Van,8.0 bhp ,GVW 975,,11,395,1920,https://trucks.cardekho.com/en/trucks/piaggio/ape-delivery-van
85,Mahindra Scorpio Getaway,120 bhp ,GVW 2550,500,80,2179,3040,https://trucks.cardekho.com/en/trucks/mahindra/scorpio-getaway
86,Tata LPT 1613,136 bhp ,GVW 16200,11250,225,5883,4225,https://trucks.cardekho.com/en/trucks/tata/lpt-1613
87,Tata LPT 909 EX,83.8bhp ,GVW 10550,,430,3800,3800,https://trucks.cardekho.com/en/trucks/tata/lpt-909-ex
88,BharatBenz 1217C BS6,167 bhp,GVW 13000,,160,3900,3160,https://trucks.cardekho.com/en/trucks/bharat-benz/1217c
89,Tata LPT 709 EX2,123.3 bhp ,GVW 7490,4698,160,3783,3800,https://trucks.cardekho.com/en/trucks/tata/lpt-709-ex2
90,Eicher Pro 1080XPT,114 bhp ,GVW 8750,,60,--,2815,https://trucks.cardekho.com/en/trucks/eicher/pro-1080-xpt
91,Mahindra Champion Load,7.5 bhp ,GVW 1350,665,,510,2050,https://trucks.cardekho.com/en/trucks/mahindra/champion-load
92,Tata SIGNA 3718.TK,177 bhp ,GVW 37000,,260,5883,6750,https://trucks.cardekho.com/en/trucks/tata/signa-3718tk
93,Ashok Leyland 1618 T,180bhp ,GVW 16200,,212,5660,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/1618-t
94,Eicher Pro 1059XP,95 bhp ,GVW 7200,,100,--,3350,https://trucks.cardekho.com/en/trucks/eicher/pro-1059xp
95,Tata LPT 1412,121.6 bhp ,GVW 12990,,160,3783,3600,https://trucks.cardekho.com/en/trucks/tata/lpt-1412
96,Tata Prima 4928.S,267 bhp ,GVW 49000,39570,365+260,6700,3890,https://trucks.cardekho.com/en/trucks/tata/prima-4928s
97,Atul Shakti Premium,8 bhp ,GVW 990,,7,435,1960,https://trucks.cardekho.com/en/trucks/atul/shakti-premium
98,Piaggio Ape Xtra LDX BS6,9.4 bhp,GVW 975,560,10.5,599,2100,https://trucks.cardekho.com/en/trucks/piaggio/ape-xtra-ldx-bs6
99,Eicher Pro 2095 XP,115 bhp ,GVW 10700,7175,190,--,3370,https://trucks.cardekho.com/en/trucks/eicher/pro-2095-xp
100,Ashok Leyland DOST CNG,45 bhp ,GVW 2545,1215,120,1478,2350,https://trucks.cardekho.com/en/trucks/ashok-leyland/dost-cng
101,BharatBenz 1923C BS6,241 bhp,GVW 18500,,215,7200,3600,https://trucks.cardekho.com/en/trucks/bharat-benz/1923c
102,Tata LPT 3518,177 bhp ,GVW 35000,,,5883,5505,https://trucks.cardekho.com/en/trucks/tata/lpt-3518
103,Tata Signa 5523.S,227 bhp ,GVW 55000,,400,5883,3880,https://trucks.cardekho.com/en/trucks/tata/signa-5523s
104,SML Isuzu Supreme BS-IV,99.1bhp ,GVW 8000,5100,90,3455,3940,https://trucks.cardekho.com/en/trucks/sml-isuzu/supreme-bs-iv
105,Tata LPT 4223,229 bhp ,GVW 42000,,,5883,6750,https://trucks.cardekho.com/en/trucks/tata/lpt-4223
106,BharatBenz 2823R BS6,241 bhp,GVW 28000,,380,7200,5175,https://trucks.cardekho.com/en/trucks/bharat-benz/2823r
107,SML Isuzu Sartaj 5252 XM BS-IV,99.1bhp ,GVW 5200,2890,70,3455,2515,https://trucks.cardekho.com/en/trucks/sml-isuzu/sartaj-5252-xm-bs-iv
108,Eicher Pro 1090,110 HP ,GVW 8720,,190,3298,3765,https://trucks.cardekho.com/en/trucks/eicher/pro-1090
109,Tata LPT 1918,180 bhp ,GVW 18500,,225,5900,4225,https://trucks.cardekho.com/en/trucks/tata/lpt-1918
110,Tata LPT 1918 5 L Turbotronn,177 bhp ,GVW 18500,,,5005,4225,https://trucks.cardekho.com/en/trucks/tata/lpt-1918-5-l-turbotronn
111,Tata LPT 1512,123 bhp ,GVW 15800,,160,3783,4200,https://trucks.cardekho.com/en/trucks/tata/lpt-1512
112,Mahindra Blazo X 35 LIFT AXLE,274 bhp ,GVW 35000,,330,7200,5600,https://trucks.cardekho.com/en/trucks/mahindra/blazo-x-31-lift-axle
113,Tata LPT 2521 6x2 TC,210 bhp ,GVW 25000,18840,350,6700,4880,https://trucks.cardekho.com/en/trucks/tata/lpt-2521-6x2-tc
114,Tata LPK 1613 Hymiler,134 bhp ,GVW 16200,,160,5675,3580,https://trucks.cardekho.com/en/trucks/tata/lpk-1613-hymiler
115,Piaggio Ape City Plus,8.05 bhp ,GVW 734,,8.5,436,1920,https://trucks.cardekho.com/en/trucks/piaggio/ape-city-plus
116,Volvo FH 520 Puller,520bhp ,GVW 200000,190935,445,12800,3885,https://trucks.cardekho.com/en/trucks/volvo/fh-520-puller
117,Ashok Leyland Boss 1113,130bhp ,GVW 11990,,208,--,3900,https://trucks.cardekho.com/en/trucks/ashok-leyland/boss-1113
118,Eicher Pro 3016 AMT,165 bhp ,GVW 16200,,190,--,4490,https://trucks.cardekho.com/en/trucks/eicher/pro-3016-amt
119,Tata Signa 4823.T,230 bhp ,GVW 47500,34000,,5883,6730,https://trucks.cardekho.com/en/trucks/tata/signa-4823t
120,Ashok Leyland 3118 LA,180 Bhp ,GVW 31000,,400,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/3118-la
121,Ashok Leyland Ecomet 1012 Tipper,130 bhp ,GVW 10900,,115,--,--,https://trucks.cardekho.com/en/trucks/ashok-leyland/ecomet-1012-tipper
122,Isuzu D-MAX V-Cross,147 bhp ,GVW 2850,,,1898,3095,https://trucks.cardekho.com/en/trucks/isuzu/d-max-v-cross
123,Tata ULTRA T.7 Electric,295 bhp,GVW 7490,3692,,,3550,https://trucks.cardekho.com/en/trucks/tata/ultra-t-7-electric
124,Ashok Leyland Ecomet 1012,130bhp ,GVW 10900,7050,200,--,2850,https://trucks.cardekho.com/en/trucks/ashok-leyland/ecomet-1012
125,Tata Ultra 812,165.2bhp ,GVW 8000,,120,3783,3310,https://trucks.cardekho.com/en/trucks/tata/ultra-812
126,Tata LPT 1615,159 bhp ,GVW 16200,,225,--,4225,https://trucks.cardekho.com/en/trucks/tata/lpt-1615
127,Tata Winger Cargo,100 bhp ,GVW 2850,1150,,2179,3200,https://trucks.cardekho.com/en/trucks/tata/winger-cargo
128,Tata LPK 2523,224.6 bhp ,GVW 25000,,300,5883,3880,https://trucks.cardekho.com/en/trucks/tata/lpk-2523
129,Tata Ultra 1012,165.2bhp ,GVW 10400,,120,--,3310,https://trucks.cardekho.com/en/trucks/tata/ultra-1012
130,Tata LPK 1212 CRX,121.6 bhp ,GVW 11900,,100,3783,3000,https://trucks.cardekho.com/en/trucks/tata/lpk-1212-crx
131,Bajaj Compact 4S,10 bhp ,GVW 667,,,198,2000,https://trucks.cardekho.com/en/trucks/bajaj/compact-4s
132,Tata LPK 2518 RMC,177.1 bhp ,GVW 25000,,300,5883,3880,https://trucks.cardekho.com/en/trucks/tata/lpk-2518-rmc
133,Tata Prima FL 3530.K BS6,300 bhp ,GVW 35000,,300,6700,5250,https://trucks.cardekho.com/en/trucks/tata/prima-fl-3530-k-bs6
134,Tata ULTRA 1518,174.4 bhp ,GVW 15710,9700,160,--,4920,https://trucks.cardekho.com/en/trucks/tata/ultra-1518
135,SML Isuzu Sartaj HG 72 BS-IV,99.1bhp ,GVW 7200,4470,90,3455,3335,https://trucks.cardekho.com/en/trucks/sml-isuzu/sartaj-hg-72-bs-iv
136,Tata Prima FL 5530.S BS6,300 bhp ,GVW 55000,,365,6700,3890,https://trucks.cardekho.com/en/trucks/tata/prima-fl-5530-s-bs6
137,Eicher Pro 1075,110 bhp ,GVW 7450,,100,--,3515,https://trucks.cardekho.com/en/trucks/eicher/pro-1075
138,Tata SFC 407 EX HT,83.8bhp ,GVW 6250,3975,60,2956,3100,https://trucks.cardekho.com/en/trucks/tata/sfc-407-ex-ht
139,Atul Shakti,7.5 bhp ,GVW 990,,7,435,1845,https://trucks.cardekho.com/en/trucks/atul/shakti
140,Mahindra Furio 14,140 bhp ,GVW 14000,,190,3500,4500,https://trucks.cardekho.com/en/trucks/mahindra/furio-14
141,Eicher Pro 1055,95 bhp ,GVW 6250,,60,--,2815,https://trucks.cardekho.com/en/trucks/eicher/pro-1055
142,Tata SFC 407 BS-IV,83.8bhp ,GVW 5950,3876,60,2956,3100,https://trucks.cardekho.com/en/trucks/tata/sfc-407-bs-iv
